2017-11-21 14:23:25 INFO  Browser:21 - Implicit wait applied on the driver for 60 seconds
2017-11-21 14:23:26 INFO  Browser:23 - Maximixe the window
2017-11-21 14:23:26 INFO  Browser:24 - Web application launched: https://devconnect.lrsus.com/
2017-11-21 14:25:44 INFO  DataStoreRepository:74 - Property file is loaded successfully: PageObjects/loginPage.properties
2017-11-21 14:25:44 INFO  DataStoreRepository:74 - Property file is loaded successfully: TestData/loginTestData.properties
2017-11-21 14:26:55 INFO  DataStoreRepository:74 - Property file is loaded successfully: PageObjects/loginPage.properties
2017-11-21 14:26:55 INFO  DataStoreRepository:74 - Property file is loaded successfully: TestData/loginTestData.properties
2017-11-21 14:29:43 INFO  DataStoreRepository:74 - Property file is loaded successfully: PageObjects/loginPage.properties
2017-11-21 14:29:43 INFO  DataStoreRepository:74 - Property file is loaded successfully: TestData/loginTestData.properties
2017-11-21 14:29:52 INFO  DataStoreRepository:74 - Property file is loaded successfully: PageObjects/loginPage.properties
2017-11-21 14:29:52 INFO  DataStoreRepository:74 - Property file is loaded successfully: TestData/loginTestData.properties
2017-11-23 10:26:21 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-23 10:26:21 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-23 10:26:27 INFO  Browser:21 - Implicit wait applied on the driver for 60 seconds
2017-11-23 10:26:28 INFO  Browser:23 - Maximixe the window
2017-11-23 10:26:28 INFO  Browser:24 - Web application launched: https://devconnect.lrsus.com/
2017-11-23 11:01:35 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-23 11:01:35 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-23 11:01:39 INFO  Browser:21 - Implicit wait applied on the driver for 60 seconds
2017-11-23 11:01:40 INFO  Browser:23 - Maximixe the window
2017-11-23 11:01:40 INFO  Browser:24 - Web application launched: https://devconnect.lrsus.com/
2017-11-23 11:08:23 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-23 11:08:23 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-23 11:08:41 INFO  Browser:21 - Implicit wait applied on the driver for 60 seconds
2017-11-23 11:08:42 INFO  Browser:23 - Maximixe the window
2017-11-23 11:08:42 INFO  Browser:24 - Web application launched: https://devconnect.lrsus.com/
2017-11-23 11:10:59 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
